,Ссылка,Всего услуг,"Полностью электронных, %успешных","Частично электронных, %успешных","Неэлектронных, %успешных",% успешных
Государственное бюджетное учреждение культуры Архангельской области «Архангельский молодежный театр»,https://gosuslugi29.ru/pgu/department/info.htm?id=16648@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Государственное бюджетное учреждение культуры Архангельской области «Архангельской театр драмы имени М.В. Ломоносова»,https://gosuslugi29.ru/pgu/department/info.htm?id=16647@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Государственное бюджетное учреждение культуры Архангельской области «Государственный академический Северный русский народный хор»,https://gosuslugi29.ru/pgu/department/info.htm?id=16646@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Государственное бюджетное учреждение культуры Архангельской области «Поморская филармония»,https://gosuslugi29.ru/pgu/department/info.htm?id=16650@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Государственное учреждение культуры Архангельской области Архангельский краеведческий музей,https://gosuslugi29.ru/pgu/department/info.htm?id=17989@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Государственное автономное образовательное учреждение дополнительного профессионального образования «Архангельский областной институт открытого образования»,https://gosuslugi29.ru/pgu/department/info.htm?id=22410@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Государственное автономное образовательное учреждение среднего профессионального  образования Архангельской области «Вельский сельскохозяйственный техникум имени  Г.И. Шибанова»,https://gosuslugi29.ru/pgu/department/info.htm?id=16028@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Государственное автономное образовательное учреждение среднего профессионального образования  Архангельской области «Вельский индустриальный техникум»,https://gosuslugi29.ru/pgu/department/info.htm?id=16044@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Государственное автономное образовательное учреждение среднего профессионального образования Архангельской области «Архангельский политехнический техникум»,https://gosuslugi29.ru/pgu/department/info.htm?id=16037@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Государственное автономное образовательное учреждение среднего профессионального образования Архангельской области «Няндомский железнодорожный техникум»,https://gosuslugi29.ru/pgu/department/info.htm?id=16005@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Государственное автономное образовательное учреждение среднего профессионального образования Архангельской области «Техникум строительства, дизайна и технологий»",https://gosuslugi29.ru/pgu/department/info.htm?id=16011@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Государственное автономное образовательное учреждение среднего профессионального образования Архангельской области «Устьянский индустриальный техникум»,https://gosuslugi29.ru/pgu/department/info.htm?id=16009@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
