,name,link,total,failed,%
22440@egOrganization,Государственное казенное учреждение Архангельской области «Пинежское лесничество»,https://gosuslugi29.ru/pgu/department/info.htm?id=22440@egOrganization,0,0,100.00%
22446@egOrganization,Государственное казенное учреждение Архангельской области «Плесецкое лесничество»,https://gosuslugi29.ru/pgu/department/info.htm?id=22446@egOrganization,0,0,100.00%
22445@egOrganization,Государственное казенное учреждение Архангельской области «Пуксоозерское лесничество»,https://gosuslugi29.ru/pgu/department/info.htm?id=22445@egOrganization,0,0,100.00%
22437@egOrganization,Государственное казенное учреждение Архангельской области «Северодвинское лесничество»,https://gosuslugi29.ru/pgu/department/info.htm?id=22437@egOrganization,0,0,100.00%
22442@egOrganization,Государственное казенное учреждение Архангельской области «Сийское лесничество»,https://gosuslugi29.ru/pgu/department/info.htm?id=22442@egOrganization,0,0,100.00%
22449@egOrganization,Государственное казенное учреждение Архангельской области «Сурское лесничество»,https://gosuslugi29.ru/pgu/department/info.htm?id=22449@egOrganization,0,0,100.00%
22438@egOrganization,Государственное казенное учреждение Архангельской области «Устьянское лесничество»,https://gosuslugi29.ru/pgu/department/info.htm?id=22438@egOrganization,0,0,100.00%
22441@egOrganization,Государственное казенное учреждение Архангельской области «Холмогорское лесничество»,https://gosuslugi29.ru/pgu/department/info.htm?id=22441@egOrganization,0,0,100.00%
22450@egOrganization,Государственное казенное учреждение Архангельской области «Шенкурское лесничество»,https://gosuslugi29.ru/pgu/department/info.htm?id=22450@egOrganization,0,0,100.00%
22435@egOrganization,Государственное казённое учреждение Архангельской области «Каргопольское лесничество»,https://gosuslugi29.ru/pgu/department/info.htm?id=22435@egOrganization,0,0,100.00%
22443@egOrganization,Государственное казённое учреждение Архангельской области «Приозёрное лесничество»,https://gosuslugi29.ru/pgu/department/info.htm?id=22443@egOrganization,0,0,100.00%
15947@egOrganization,Каргопольское обособленное подразделение территориального органа министерства природных ресурсов и лесопромышленного комплекса Архангельской области - управления лесничества,https://gosuslugi29.ru/pgu/department/info.htm?id=15947@egOrganization,0,0,100.00%
15948@egOrganization,Карпогорское обособленное подразделение территориального органа министерства природных ресурсов и лесопромышленного комплекса Архангельской области - управления лесничествами,https://gosuslugi29.ru/pgu/department/info.htm?id=15948@egOrganization,0,0,100.00%
15949@egOrganization,Коношское обособленное подразделение территориального органа министерства природных ресурсов и лесопромышленного комплекса Архангельской области - управления лесничествами,https://gosuslugi29.ru/pgu/department/info.htm?id=15949@egOrganization,0,0,100.00%
15950@egOrganization,Котласское обособленное подразделение территориального органа министерства природных ресурсов и лесопромышленного комплекса Архангельской области - управления лесничествами,https://gosuslugi29.ru/pgu/department/info.htm?id=15950@egOrganization,0,0,100.00%
15951@egOrganization,Красноборское обособленное подразделение территориального органа министерства природных ресурсов и лесопромышленного комплекса Архангельской области - управления лесничествами,https://gosuslugi29.ru/pgu/department/info.htm?id=15951@egOrganization,0,0,100.00%
15952@egOrganization,Лешуконское обособленное подразделение территориального органа министерства природных ресурсов и лесопромышленного комплекса Архангельской области - управления лесничествами,https://gosuslugi29.ru/pgu/department/info.htm?id=15952@egOrganization,0,0,100.00%
